,Code,Description
418,A88,"Άλλες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος, που δεν ταξινομούνται αλλού"
419,A88.0,Εξανθηματικός πυρετός από εντεροϊό [εξάνθημα της Βοστώνης]
420,A88.1,Επιδημικός ίλιγγος
421,A88.8,Άλλες καθορισμένες ιογενείς λοιμώξεις του κεντρικού νευρικού συστήματος
422,A89,Μη καθορισμένη ιογενής λοίμωξη του κεντρικού νευρικού συστήματος
423,A90,Δάγγειος πυρετός [κλασσικός Δάγγειος]
424,A91,Δάγγειος αιμορραγικός πυρετός
425,A92,Άλλοι ιογενείς πυρετοί που μεταδίδονται με κουνούπια
426,A92.0,Ιογενής νόσος  Chikungunya
427,A92.1,Πυρετός O'nyong-nyong
428,A92.2,Πυρετός των αλόγων της Βενεζουέλας
429,A92.3,Ιογενής λοίμωξη του Δυτικού Νείλου [West Nile]
430,A92.4,Πυρετός της κοιλάδας Rift [Valley]
431,A92.8,Άλλοι καθορισμένοι ιογενείς πυρετοί που μεταδίδονται με κουνούπια
432,A92.9,"Ιογενής πυρετός που μεταδίδεται με κουνούπια, μη καθορισμένος"
433,A93,"Άλλοι ιογενείς πυρετοί που μεταδίδονται με αρθρόποδα, που δεν ταξινομούνται αλλού"
434,A93.0,Ιογενής νόσος Oropouche 
435,A93.1,Πυρετός Sandfly
436,A93.2,Κροτωνογενής πυρετός του Κολοράντο
437,A93.8,Άλλοι καθορισμένοι ιογενείς πυρετοί που μεταδίδονται με αρθρόποδα
438,A94,Μη καθορισμένος ιογενής πυρετός μεταδιδόμενος με αρθρόποδα
439,A95,Κίτρινος πυρετός
440,A95.0,Κίτρινος πυρετός των δασών
441,A95.1,Κίτρινος πυρετός των πόλεων
442,A95.9,"Κίτρινος πυρετός, μη καθορισμένος"
443,A96,Αιμορραγικός πυρετός από αρεναϊούς
444,A96.0,Αιμορραγικός πυρετός από ιό Junin
445,A96.1,Αιμορραγικός πυρετός από ιό Machupo
446,A96.2,Πυρετός της Λάσσα [Lassa]
447,A96.8,Άλλοι αιμορραγικοί πυρετοί από αρεναϊούς
448,A96.9,"Αιμορραγικός πυρετός από αρεναϊούς, μη καθορισμένος"
449,A98,"Άλλοι ιογενείς αιμορραγικοί πυρετοί, που δεν ταξινομούνται αλλού"
450,A98.0,Αιμορραγικός πυρετός της Κριμαίας-Κονγκό
451,A98.1,Αιμορραγικός πυρετός του Omsk
452,A98.2,Νόσος του δάσους Kyasanur [Kyasanur Forest]
453,A98.3,Νόσος από ιό Marburg
454,A98.4,Νόσος από ιό Ebola
455,A98.5,Αιμορραγικός πυρετός με νεφρικό σύνδρομο
456,A98.8,Άλλοι καθορισμένοι ιογενείς αιμορραγικοί πυρετοί
457,A99,Μη καθορισμένος ιογενής αιμορραγικός πυρετός
458,B00,Λοιμώξεις από ερπητοϊό [ιό του απλού έρπητα]
459,B00.0,Ερπητικό έκζεμα
460,B00.1,Φυσαλιδώδης δερματίτιδα από ερπητοϊό
461,B00.2,Ερπητική ουλοστοματίτιδα και φαρυγγοαμυγδαλίτιδα
462,B00.3,Ερπητική μηνιγγίτιδα  
463,B00.4,Ερπητική εγκεφαλίτιδα  
464,B00.5,Eρπητική οφθαλμοπάθεια
465,B00.7,Διάχυτη ερπητική νόσος
466,B00.8,Άλλες μορφές ερπητικής λοίμωξης
467,B00.9,"Ερπητική λοίμωξη, μη καθορισμένη"
468,B01,Ανεμευλογιά
469,B01.0,Μηνιγγίτιδα της ανεμευλογιάς  
470,B01.1,Εγκεφαλίτιδα της ανεμευλογιάς  
471,B01.2,Πνευμονία της ανεμευλογιάς  
472,B01.8,Ανεμευλογιά με άλλες επιπλοκές
473,B01.9,Ανεμευλογιά χωρίς επιπλοκή
474,B02,Ζωστήρας [έρπητας ζωστήρας]
475,B02.0,Εγκεφαλίτιδα του ζωστήρα  
476,B02.1,Μηνιγγίτιδα του ζωστήρα  
477,B02.2,Ζωστήρας με άλλη συμμετοχή από το νευρικό σύστημα
478,B02.3,Οφθαλμοπάθεια του ζωστήρα
479,B02.7,Διάχυτος ζωστήρας
480,B02.8,Ζωστήρας με άλλες επιπλοκές
481,B02.9,Ζωστήρας χωρίς επιπλοκή
482,B03,Ευλογιά
483,B04,Ευλογιά των πιθήκων
484,B05,Ιλαρά
485,B05.0,Ιλαρά επιπλεγμένη με εγκεφαλίτιδα  
486,B05.1,Ιλαρά επιπλεγμένη με μηνιγγίτιδα  
487,B05.2,Ιλαρά επιπλεγμένη με πνευμονία  
488,B05.3,Iλαρά επιπλεγμένη με μέση ωτίτιδα  
489,B05.4,Ιλαρά με εντερικές επιπλοκές
490,B05.8,Ιλαρά με άλλες επιπλοκές
491,B05.9,Ιλαρά χωρίς επιπλοκή
492,B06,Ερυθρά [Γερμανική Ιλαρά]
493,B06.0,Ερυθρά με νευρολογικές επιπλοκές
494,B06.8,Ερυθρά με άλλες επιπλοκές
495,B06.9,Ερυθρά χωρίς επιπλοκή
496,B07,Ιογενείς ακροχορδόνες [μυρμηκίες]
497,B08,"Άλλες ιογενείς λοιμώξεις χαρακτηριζόμενες από βλάβες του δέρματος και των βλεννογόνων, που δεν ταξινομούνται αλλού"
498,B08.0,Άλλες λοιμώξεις που οφείλονται σε ιό orthopox
499,B08.1,Μολυσματική τέρμινθος
500,B08.2,Αιφνίδιο εξάνθημα [έκτη νόσος]
501,B08.3,Λοιμώδες ερύθημα [πέμπτη νόσος]
502,B08.4,Φυσαλλιδώδης στοματίτιδα με εξάνθημα από εντεροϊό  
503,B08.5,Φυσαλλιδώδης φαρυγγίτιδα από εντεροϊό 
504,B08.8,Άλλες καθορισμένες ιογενείς λοιμώξεις χαρακτηριζόμενες από βλάβες του δέρματος και των βλεννογόνων
505,B09,Μη καθορισμένες ιογενείς λοιμώξεις χαρακτηριζόμενες από βλάβες του δέρματος και των βλεννογόνων
506,B15,Οξεία ηπατίτιδα Α
507,B15.0,Ηπατίτιδα Α με ηπατικό κώμα
508,B15.9,Ηπατίτιδα Α χωρίς ηπατικό κώμα
509,B16,Οξεία ηπατίτιδα Β
510,B16.0,Οξεία ηπατίτιδα Β με παράγοντα δέλτα συλλοίμωξη με ηπατικό κώμα
511,B16.1,Οξεία ηπατίτιδα Β με παράγοντα δέλτα συλλοίμωξη χωρίς ηπατικό κώμα
512,B16.2,Οξεία ηπατίτιδα Β χωρίς  παράγοντα δέλτα με ηπατικό κώμα
513,B16.9,Οξεία ηπατίτιδα Β χωρίς  παράγοντα δέλτα χωρίς ηπατικό κώμα
514,B17,Άλλη οξεία ιογενής ηπατίτιδα
515,B17.0,Οξεία υπερλοίμωξη με παράγοντα δέλτα του φορέα ηπατίτιδας Β
516,B17.1,Οξεία ηπατίτιδα C
517,B17.2,Οξεία ηπατίτιδα Ε
518,B17.8,Άλλη καθορισμένη οξεία ιογενής ηπατίτιδα
519,B18,Χρόνια ιογενής ηπατίτιδα
520,B18.0,Χρόνια ιογενής ηπατίτιδα Β με παράγοντα δέλτα
521,B18.1,Χρόνια ιογενής ηπατίτιδα Β χωρίς παράγοντα δέλτα
522,B18.2,Χρόνια ιογενής ηπατίτιδα C
523,B18.8,Άλλη χρόνια ιογενής ηπατίτιδα
524,B18.9,"Χρόνια ιογενής ηπατίτιδα, μη καθορισμένη"
525,B19,Μη καθορισμένη ιογενής ηπατίτιδα
526,B19.0,Μη καθορισμένη ιογενής ηπατίτιδα με ηπατικό κώμα
527,B19.9,Μη καθορισμένη ιογενής ηπατίτιδα χωρίς ηπατικό κώμα
528,B20,Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε λοιμώδη και παρασιτικά νοσήματα
529,B20.0,Νόσος HIV που καταλήγει σε μυκοβακτηριδιακή λοίμωξη
530,B20.1,Νόσος HIV που καταλήγει σε άλλες βακτηριακές λοιμώξεις
531,B20.2,Νόσος HIV που καταλήγει σε νόσο από κυτταρομεγαλοϊό
532,B20.3,Νόσος HIV που καταλήγει σε άλλες ιογενείς λοιμώξεις
533,B20.4,Νόσος HIV που καταλήγει σε καντιντίαση
534,B20.5,Νόσος HIV που καταλήγει σε άλλες μυκητιάσεις
535,B20.6,Νόσος HIV που καταλήγει σε πνευμονία από Pneumocystis jirovecii
536,B20.7,Νόσος HIV που καταλήγει σε πολλαπλές λοιμώξεις
537,B20.8,Νόσος HIV που καταλήγει σε άλλα λοιμώδη και παρασιτικά νοσήματα
538,B20.9,Νόσος HIV που καταλήγει σε μη καθορισμένο λοιμώδες ή παρασιτικό νόσημα
539,B21,Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε κακοήθη νεοπλάσματα
540,B21.0,Νόσος HIV που καταλήγει σε σάρκωμα Kaposi
541,B21.1,Νόσος HIV που καταλήγει σε λέμφωμα Burkitt
542,B21.2,Νόσος HIV που καταλήγει σε άλλους τύπους μη-Hodgkin λεμφώματος
543,B21.3,"Νόσος HIV που καταλήγει σε άλλα κακοήθη νεοπλάσματα του λεμφικού, αιμοποιητικού και  συσχετιζόμενων ιστών"
544,B21.7,Νόσος HIV που καταλήγει σε πολλαπλά κακοήθη νεοπλάσματα
545,B21.8,Νόσος HIV που καταλήγει σε άλλα κακοήθη νεοπλάσματα
546,B21.9,Νόσος HIV που καταλήγει σε μη καθορισμένα κακοήθη νεοπλάσματα
547,B22,Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε άλλα καθορισμένα νοσήματα
548,B22.0,Νόσος HIV που καταλήγει σε εγκεφαλοπάθεια
549,B22.1,Νόσος HIV που καταλήγει σε λεμφοειδή διάμεση πνευμονίτιδα
550,B22.2,Νόσος HIV που καταλήγει σε σύνδρομο απίσχνασης
551,B22.7,Νόσος HIV που καταλήγει σε πολλαπλά νοσήματα που ταξινομούνται αλλού
552,B23,Νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] που καταλήγει σε άλλες καταστάσεις
553,B23.0,Οξύ σύνδρομο της HIV λοίμωξης 
554,B23.1,Νόσος HIV που καταλήγει σε εμμένουσα γενικευμένη λεμφαδενοπάθεια
555,B23.2,"Νόσος HIV που καταλήγει σε αιματολογικές και ανοσολογικές ανωμαλίες, που δεν ταξινομούνται αλλού"
556,B23.8,Νόσος HIV που καταλήγει σε άλλες καθορισμένες καταστάσεις
557,B24,Μη καθορισμένη νόσος από τον ιό της ανοσολογικής ανεπάρκειας του ανθρώπου [HIV] 
558,B25,Νόσος από κυτταρομεγαλοϊό
559,B25.0,Πνευμονίτιδα από κυτταρομεγαλοϊό   
560,B25.1,Ηπατίτιδα από κυτταρομεγαλοϊό  
